화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
13442,16,202606,15686,235649,3612,559,11422,192,147,강남구,422,14178,250249,서울,58,2052,4227,156,218199,229777,396,557
11802,8,202606,14525,160497,2930,482,4952,149,201,강동구,307,8328,169132,서울,41,2574,3572,109,145492,150553,273,601
6410,17,202606,7763,67596,1834,267,2116,129,112,강북구,327,4162,72085,서울,65,1224,2609,116,59214,61446,138,710
15361,18,202606,19882,186127,3665,762,11053,157,258,강서구,355,17060,203542,서울,44,4364,5094,136,166615,177804,486,1385
8441,12,202606,10787,109233,2519,384,3106,142,168,관악구,286,5838,115357,서울,44,2204,2923,88,98069,101263,204,360
8229,9,202606,9841,89948,1783,237,2980,161,91,광진구,296,4852,95096,서울,42,1451,2155,84,79799,82863,137,330
13118,6,202606,15885,130244,3300,475,5520,128,161,구로구,305,8863,139412,서울,60,2639,3903,111,113518,119149,308,543
10161,13,202606,12394,83681,2178,299,2839,76,89,금천구,178,5518,89377,서울,32,2157,2643,57,71145,74041,197,433
9254,11,202606,11483,139991,2776,542,5587,167,241,노원구,306,8599,148896,서울,50,2062,3535,78,127671,133336,290,709
7673,12,202606,9869,85257,1967,373,4534,126,150,도봉구,278,7322,92857,서울,49,2070,2584,91,75406,80031,211,568
9349,15,202606,11713,101789,2204,319,2762,136,90,동대문구,322,5212,107323,서울,63,2228,2399,108,90022,92892,214,132
6092,16,202606,7315,101890,1903,355,1261,134,174,동작구,319,2654,104863,서울,45,1089,2078,124,93730,95115,165,130
8955,21,202606,11778,112262,2153,832,3887,174,515,마포구,346,7629,120237,서울,54,2649,2785,97,100858,104842,296,578
5482,6,202606,7364,84401,1725,268,3446,137,110,서대문구,477,5697,90575,서울,101,1745,2222,233,77042,80721,152,396
10164,14,202606,14322,169756,2718,473,3038,182,179,서초구,495,7829,178080,서울,129,3976,3483,170,156594,159802,280,636
7958,17,202606,10049,93645,1584,384,8115,177,148,성동구,378,11122,105145,서울,50,1914,2579,134,83884,92133,219,945
8069,10,202606,9864,116907,2383,326,2014,144,101,성북구,297,4837,122041,서울,46,1651,3500,97,106240,108351,215,1071
16395,19,202606,21500,228519,3560,806,7828,157,363,송파구,407,14708,243634,서울,101,4948,5230,130,208140,216098,424,1569
